강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,,,수강인원,수강정원,강의평점
교양선택,전학년,0913001-07,ACTION ENGLISH(영어Ⅱ),헤이즐 로버츠,"화01 ,02 목01 ,02 [N14-207(56-207)]",3,,,41,45,4.78
교양선택,전학년,0913002-07,영어읽기와 토론(영어Ⅰ),피터 맥 고완,"화03 ,04 금03 ,04 [N14-208(56-208)]",3,,,38,45,2.65
교양선택,전학년,0913001-08,ACTION ENGLISH(영어Ⅱ),헤이즐 로버츠,"화03 ,04 목03 ,04 [N14-704(56-704)]",3,,,43,45,4.71
교양선택,전학년,0913002-08,영어읽기와 토론(영어Ⅰ),헤이즐 로버츠,"수01 ,02 금01 ,02 [N7-114]",3,,,37,45,4.57
교양선택,전학년,0913001-09,ACTION ENGLISH(영어Ⅱ),크리스토퍼 폴리아스코,"월05 ,06 수05 ,06 [N7-404]",3,,,42,45,0
교양선택,전학년,0913002-09,영어읽기와 토론(영어Ⅰ),헤이즐 로버츠,"수03 ,04 금03 ,04 [N7-114]",3,,,44,45,4.54
교양선택,전학년,0913001-10,ACTION ENGLISH(영어Ⅱ),크리스토퍼 폴리아스코,"월07 ,08 수07 ,08 [N7-404]",3,,,39,45,0
교양선택,전학년,0913002-10,영어읽기와 토론(영어Ⅰ),안지희,"화07 ,08 목07 ,08 [N14-703(56-703)]",3,,,44,45,4.79
교양선택,전학년,0913001-11,ACTION ENGLISH(영어Ⅱ),피터 맥 고완,"월05 ,06 금05 ,06 [N14-208(56-208)]",3,,,30,45,3.64
교양선택,전학년,0913002-11,영어읽기와 토론(영어Ⅰ),정혜인,"수07 ,08 금07 ,08 [N7-114]",3,,,34,45,4.8
교양선택,전학년,0913001-12,ACTION ENGLISH(영어Ⅱ),레이몬드 레브니악,"월07 ,08 목07 ,08 [N7-407]",3,,,32,45,4.89
교양선택,전학년,0913002-12,영어읽기와 토론(영어Ⅰ),레이몬드 레브니악,"화03 ,04 금03 ,04 [N7-404]",3,,,34,45,4.86
교양선택,전학년,0913001-13,ACTION ENGLISH(영어Ⅱ),프레드K.리벤버그,"화06 ,07 목05 ,06 [N14-208(56-208)]",3,,,41,45,4.28
교양선택,전학년,0913002-13,영어읽기와 토론(영어Ⅰ),레이몬드 레브니악,"화05 ,06 [N7-404] 금05 ,06 [N7-114]",3,,,36,45,4.85
교양선택,전학년,0913001-14,ACTION ENGLISH(영어Ⅱ),프레드K.리벤버그,"화08 ,09 목08 ,09 [N14-208(56-208)]",3,,,42,45,4.28
교양선택,전학년,0913002-14,영어읽기와 토론(영어Ⅰ),크리스토퍼 폴리아스코,"화03 ,04 목03 ,04 [N7-303]",3,,,34,45,0
교양선택,전학년,0913001-15,ACTION ENGLISH(영어Ⅱ),프레드K.리벤버그,"화11 ,12 목11 ,12 [N14-208(56-208)]",3,,,6,45,4.28
교양선택,전학년,0913002-15,영어읽기와 토론(영어Ⅰ),이강영,"월08 ,09 수08 ,09 [N14-207(56-207)]",3,,,24,45,1.8
교양선택,전학년,0913001-16,ACTION ENGLISH(영어Ⅱ),레이몬드 레브니악,"월03 ,04 [N7-114] 수03 ,04 [N7-407]",3,,,44,45,4.89
교양선택,전학년,0913002-16,영어읽기와 토론(영어Ⅰ),이강영,"화08 ,09 목08 ,09 [N14-207(56-207)]",3,,,30,45,1.8
교양선택,전학년,0913001-17,ACTION ENGLISH(영어Ⅱ),레이몬드 레브니악,"월05 ,06 [N7-114] 수05 ,06 [N7-407]",3,,,40,45,4.9
교양선택,전학년,0913002-17,영어읽기와 토론(영어Ⅰ),정혜인,"수03 ,04 금03 ,04 [N14-703(56-703)]",3,,,33,45,4.8
교양선택,전학년,0913001-18,ACTION ENGLISH(영어Ⅱ),벤자민조엘마크,"월06 ,07 수06 ,07 [N7-303]",3,,,33,45,4.8
교양선택,전학년,0913002-18,영어읽기와 토론(영어Ⅰ),벤자민조엘마크,"화08 ,09 목08 ,09 [N7-303]",3,,,41,45,4.7
교양선택,전학년,0913001-19,ACTION ENGLISH(영어Ⅱ),크리스토퍼 폴리아스코,"화05 ,06 목05 ,06 [N7-303]",3,,,27,45,0
교양선택,전학년,0913002-19,영어읽기와 토론(영어Ⅰ),트리쉬케루스,"화08 ,09 목08 ,09 [N7-114]",3,,,38,45,4.25
교양선택,전학년,0913001-20,ACTION ENGLISH(영어Ⅱ),허선민,"수01 ,02 [N14-704(56-704)] 목05 ,06 [N14-703(56-703)]",3,,,35,45,4.68
