강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,단과대학,학과,수강인원,수강정원,강의평점
전공필수,4학년,8704020-01,현대 조형예술 실습 I,김준근,"월06 ,07 ,08 ,09 [N16-2-307(65A-307)]",2,융합학과군,조형예술학과,10,20,0
전공필수,4학년,8704021-01,현대 조형예술 실습 II,오송규,"수06 ,07 ,08 ,09 [N16-2-307(65A-307)]",2,융합학과군,조형예술학과,10,20,0
전공선택,4학년,8704022-01,현대수묵화 기법연구 I,유기중,"금06 ,07 ,08 ,09 [N16-2-307(65A-307)]",2,융합학과군,조형예술학과,8,20,0
전공필수,4학년,8705022-01,서양화V-A,이보라,"목06 ,07 ,08 ,09 [N16-2-406(65A-406)]",2,융합학과군,조형예술학과,10,20,0
전공필수,4학년,8705023-01,서양화V-B,김정희,"월06 ,07 ,08 ,09 [N16-2-406(65A-406)]",2,융합학과군,조형예술학과,10,20,0
전공선택,4학년,8705024-01,서양화조형실습III,진익송,"수06 ,07 ,08 ,09 [N16-2-406(65A-406)]",2,융합학과군,조형예술학과,9,20,0
전공필수,4학년,8706021-01,입체조형예술I,이기수,"월06 ,07 ,08 ,09 [N16-2-204(65A-204)]",2,융합학과군,조형예술학과,3,20,0
전공필수,4학년,8706022-01,입체조형예술II,어문선,"금06 ,07 ,08 ,09 [N16-2-204(65A-204)]",2,융합학과군,조형예술학과,3,20,0
전공선택,4학년,8706023-01,조소기법연구II,김주원,"금01 ,02 ,03 ,04 [N16-2-204(65A-204)]",2,융합학과군,조형예술학과,3,20,0
전공선택,4학년,8706024-01,매체 조형실습III,이선구,"목01 ,02 ,03 ,04 [N16-2-204(65A-204)]",2,융합학과군,조형예술학과,1,20,0
전공필수,1학년,8610099-01,셀프리더십,박승미,"월05 ,06 [S4-2-210]",2,의과대학,간호학과,61,80,0
전공필수,1학년,8610099-02,셀프리더십,곽은주,"목07 ,08 [S4-2-201]",2,의과대학,간호학과,59,65,0
전공필수,2학년,8610009-01,병리학,"손승명, 우창곡, 이옥준, 이호창","화02 ,03 [S4-2-201]",2,의과대학,간호학과,60,65,0
전공선택,2학년,8610010-01,간호윤리와 전문직관,김은경,"수08 ,09 [S4-2-201]",2,의과대학,간호학과,60,65,3
전공필수,2학년,8610011-01,인간관계와 의사소통,김경미,"수02 ,03 [S4-2-201]",2,의과대학,간호학과,59,65,0
전공필수,2학년,8610012-01,성장과 발달,최미영,"수05 ,06 [S4-2-201]",2,의과대학,간호학과,60,65,0
전공필수,2학년,8610015-01,기본간호학 I,김경미,"월05 ,06 [S4-2-201]",2,의과대학,간호학과,59,65,0
전공필수,2학년,8610016-01,기본간호학실습 I,김경미,"화05 ,06 [S4-2-301]",1,의과대학,간호학과,22,80,0
전공필수,2학년,8610016-02,기본간호학실습 I,김경미,"목02 ,03 [S4-2-301]",1,의과대학,간호학과,19,80,0
전공필수,2학년,8610016-03,기본간호학실습 I,김경미,"목05 ,06 [S4-2-301]",1,의과대학,간호학과,19,80,0
전공선택,2학년,8610070-01,건강사정,박형란,월07 [S4-2-201],1,의과대학,간호학과,60,65,0
전공선택,2학년,8610071-01,건강사정실습,박형란,"화08 ,09 [S4-2-309]",1,의과대학,간호학과,22,80,0
전공선택,2학년,8610071-02,건강사정실습,박형란,"화05 ,06 [S4-2-309]",1,의과대학,간호학과,18,80,0
전공선택,2학년,8610071-03,건강사정실습,곽은주,"목02 ,03 [S4-2-309]",1,의과대학,간호학과,19,80,0
전공선택,2학년,8610089-01,간호연구개론,최미영,"월02 ,03 [S4-2-201]",2,의과대학,간호학과,60,65,0
전공필수,3학년,8610022-01,정신간호학 I,김수미,목01 [S4-2-101],1,의과대학,간호학과,41,130,0
전공필수,3학년,8610026-01,성인간호학II,김철규,"목02 ,03 [S4-2-101]",2,의과대학,간호학과,42,130,4
전공필수,3학년,8610027-01,아동간호학I,최미영,"화08 ,09 [S4-2-101]",2,의과대학,간호학과,41,130,0
전공필수,3학년,8610028-01,여성건강간호학I,김선호,"화03 ,04 [S4-2-101]",2,의과대학,간호학과,41,130,4
전공필수,3학년,8610029-01,지역사회간호학II,박승미,"금05 ,06 [S4-2-101]",2,의과대학,간호학과,42,130,0
전공필수,3학년,8610031-01,성인내과간호학실습,이승희,"월01 ,02 화01 ,02 ,06 ,07 [S4-2-412]",2,의과대학,간호학과,22,40,0
전공필수,3학년,8610032-01,아동간호학실습,최미영,"월04 ,05 ,06 목05 ,06 ,07 [S4-2-404]",2,의과대학,간호학과,22,20,0
전공필수,3학년,8610043-01,성인외과간호학실습,김철규,"월01 ,02 화01 ,02 ,06 ,07 [S4-2-302]",2,의과대학,간호학과,20,35,0
전공필수,3학년,8610044-01,여성건강간호학실습,김선호,"월04 ,05 ,06 목05 ,06 ,07 [S4-2-303]",2,의과대학,간호학과,20,35,0
