강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,,강의평점,수강인원,수강정원
전공선택,3학년,5339012-01,사학개론,윤선자,"월04 ,05 ,06 [N16-1-329(58-329)]",3,,,15,80
전공선택,3학년,5339026-01,한국근대사,이성우,"목04 ,05 ,06 [N16-1-360(58-360)]",3,,,31,40
전공선택,3학년,5339056-01,중국현대사,이상민,"목07 ,08 ,09 [N16-1-360(58-360)]",3,,,15,40
전공필수,3학년,5339064-01,고적답사 I,임형수,"화08 ,09 ,10 ,11 [N16-1-360(58-360)]",2,,,22,40
전공선택,3학년,5339068-01,명청시대사,유채원,"금07 ,08 ,09 [N16-1-359(58-359)]",3,,,0,40
전공선택,4학년,5339021-01,서양현대사,이찬행,"화07 ,08 ,09 [N16-1-359(58-359)]",3,,,16,40
전공선택,4학년,5339061-01,지방사연습,임형수,"수06 ,07 ,08 [N16-1-360(58-360)]",3,,,12,40
전공필수,4학년,5339065-01,고적답사 II,김영관,"월08 ,09 [N16-1-359(58-359)]",1,,,31,40
전공필수,1학년,5307040-01,영미문학배경,제금희,"월07 ,08 ,09 [N16-1-328(58-328)]",3,,,33,50
전공필수,1학년,5307040-02,영미문학배경,심지영,"화01 ,02 ,03 [N16-1-225(58-225)]",3,,,12,40
전공선택,2학년,5307020-02,영어음성학,박인규,"화02 ,03 목02 [N16-1-323(58-323)]",3,,,17,65
전공필수,2학년,5307028-02,영어회화I,데일 마르셀,화05 수05 목05 [N16-1-328(58-328)],3,,,17,50
전공필수,2학년,5307028-03,영어회화I,데일 마르셀,수04 목04 금04 [N16-1-328(58-328)],3,,,19,50
전공필수,2학년,5307028-04,영어회화I,데일 마르셀,화01 목01 [N16-1-323(58-323)] 금05 [N16-1-328(58-328)],3,,,5,50
전공필수,2학년,5307041-01,영작문 I,존 데이비드 부코비치,"월01 ,02 금01 [N16-1-328(58-328)]",3,,,6,50
전공필수,2학년,5307041-02,영작문 I,존 데이비드 부코비치,"월03 ,04 금02 [N16-1-328(58-328)]",3,,,35,50
전공선택,2학년,5307043-01,영문학사,황효식,"수01 ,02 ,03 [N16-1-328(58-328)]",3,,,31,50
전공선택,2학년,5307057-02,영어듣기,김규민,"목05 ,06 ,07 [N16-1-323(58-323)]",3,,,44,65
전공선택,2학년,5307064-02,문학 번역 연습,김진아,"월05 ,06 수06 [N16-1-328(58-328)]",3,,,26,50
전공선택,2학년,5307807-01,영미소설과 문화,제금희,"화07 ,08 ,09 [N16-1-328(58-328)]",3,,,40,50
전공선택,3학년,5307022-01,영어통사론,김규민,"수02 ,03 ,04 [N16-1-325(58-325)]",3,,,22,50
전공선택,3학년,5307047-01,영미시의이해,김순배,"월05 ,06 ,07 [N16-1-323(58-323)]",3,,,15,65
전공선택,3학년,5307055-01,영미문학비평,김순배,"월01 ,02 ,03 [N16-1-323(58-323)]",3,,,10,65
전공선택,3학년,5307058-01,아동 및 청소년 문학,김진아,"월08 ,09 수08 [N16-1-323(58-323)]",3,,,21,65
전공선택,3학년,5307063-01,영어 어휘 연습,박인규,"화07 ,08 목08 [N16-1-323(58-323)]",3,,,23,65
전공선택,3학년,5307068-01,실무영어,데일 마르셀,화04 [N16-1-323(58-323)] 목06 금06 [N16-1-328(58-328)],3,,,5,50
전공선택,4학년,5307048-01,시사영어강독,제금희,"수07 ,08 ,09 [N16-1-328(58-328)]",3,,,15,50
전공선택,4학년,5307060-01,실용영문법 특강,김규민,"화06 [N16-1-323(58-323)] 목01 ,02 [N16-1-328(58-328)]",3,,,36,50
전공선택,4학년,5307061-01,영어과 교재연구 및 지도법,허재연,"목07 ,08 ,09 [N16-1-328(58-328)]",3,,,14,50
전공선택,4학년,5307066-02,영미 드라마 번역,박희본,"화03 ,04 목03 [N16-1-328(58-328)]",3,,,24,50
